,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
51,2009,la Dreta de l'Eixample,43609.0,82.2,17.8,,,6547575,3054069,457237,667663,550074,1210142,153054,50081,270088,10977.0,46784,29154.0,48252,1.116,14.19,0.07864693446088795,59.4602031690706,58.7034786397303,0.7567245293403033,1.0
52,2009,la Font d'en Fargues,9608.0,93.6,6.4,,,525037,370267,62537,13018,23491,3170,25661,8356,1694,12310.0,2718,1258.0,557,830.0,11.57,71.73725151253241,43.8176519567028,40.5911740216486,3.2264779350541986,1.0
53,2009,la Font de la Guatlla,10336.0,81.5,18.5,,,536775,362486,66801,42077,46348,7299,7270,16,1299,1155.0,724,775.0,525,866.0,12.81,67.60343481654957,64.0479876160991,63.5642414860681,0.4837461300310082,1.0
54,2009,la Guineueta,15411.0,92.3,7.7,,,747998,511420,63869,38802,13802,30426,17366,3042,3196,27118.0,1929,0.0,37028,852.0,10.67,79.85004686035614,43.0212186100837,36.1430147297385,6.878203880345197,1.0
55,2009,la Marina de Port,30128.0,85.6,14.4,,,1388723,913853,196263,88287,81129,38296,27335,5141,1044,34929.0,1721,0.0,725,902.0,11.32,79.68197879858657,53.3390865639936,48.5594795539033,4.779607010090295,1.0
56,2009,la Marina del Prat Vermell,1085.0,91.9,8.1,,,4080236,80366,876677,248943,2501712,277121,36364,2424,8966,8074.0,155,0.0,39434,,,,50.6912442396313,47.0046082949309,3.686635944700406,1.0
57,2009,la Maternitat i Sant Ramon,23954.0,88.9,11.1,,,2332856,957092,261444,113381,149723,153808,239488,23117,128238,277414.0,3878,140.0,25133,1.018,12.91,0.07885360185902401,43.2078149787092,45.211655673374,-2.0038406946647953,0.0
58,2009,la Nova Esquerra de l'Eixample,58559.0,83.6,16.4,,,4039061,2437043,486711,295177,258058,272683,97502,63637,48129,11405.0,10464,11213.0,47039,988.0,12.99,76.058506543495,53.2454447651087,55.5166584128827,-2.2712136477739975,0.0
59,2009,la Prosperitat,26848.0,85.0,15.0,,,1056511,773261,94373,73744,57729,8128,29371,3421,1315,12736.0,1622,707.0,104,751.0,11.86,63.322091062394605,62.3882598331347,59.445768772348,2.9424910607866934,1.0
60,2009,la Sagrada Família,52890.0,83.1,16.9,,,2932511,2030923,313716,224625,211990,81623,9634,32868,11139,4394.0,1785,4385.0,5429,925.0,12.83,72.09664848012471,61.5995462280204,65.6834940442428,-4.083947816222405,0.0
